	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Cask	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03888804874004604	aracne_Microglia_CASTJ
Ylpm1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04003032118424915	aracne_Microglia_CASTJ
Nrxn3	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.10291410742008172	aracne_Microglia_CASTJ
Pid1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.06747461649665101	aracne_Microglia_CASTJ
Ntm	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.061148765599346996	aracne_Microglia_CASTJ
Nr3c2	2	0.025974025974025976	1	0.012987012987012988	1	0.012987012987012988	4.0	0.03336217568182746	aracne_Microglia_CASTJ
Lsamp	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.08926917151925996	aracne_Microglia_CASTJ
Ppm1l	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.05601993587554233	aracne_Microglia_CASTJ
Immp2l	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.001761558099372065	aracne_Microglia_CASTJ
Malat1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.07135528474850994	aracne_Microglia_CASTJ
Fyn	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.039228593565482764	aracne_Microglia_CASTJ
Kcnma1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.027932894435983645	aracne_Microglia_CASTJ
Lrrc4c	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.037154513899187384	aracne_Microglia_CASTJ
Kmt2d	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03709246117141669	aracne_Microglia_CASTJ
Mthfs	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.027254396256026048	aracne_Microglia_CASTJ
ENSMUSG00000062991.10	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04842886099978503	aracne_Microglia_CASTJ
Nav3	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.026748525254454016	aracne_Microglia_CASTJ
Opcml	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.06587798226321681	aracne_Microglia_CASTJ
Wwp1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03315468565644227	aracne_Microglia_CASTJ
Rbbp6	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0253386009408618	aracne_Microglia_CASTJ
Grm3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.023940634668795244	aracne_Microglia_CASTJ
Rbpj	1	0.012987012987012988	0	0.0	1	0.012987012987012988	0.0	0.0011023161895670308	aracne_Microglia_CASTJ
Rora	2	0.025974025974025976	0	0.0	2	0.025974025974025976	0.0	0.010506542637948488	aracne_Microglia_CASTJ
Lcorl	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.00041768208083965474	aracne_Microglia_CASTJ
Fat3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03889089372761822	aracne_Microglia_CASTJ
Gas7	1	0.012987012987012988	0	0.0	1	0.012987012987012988	0.0	4.2965279140171045e-19	aracne_Microglia_CASTJ
Srgap2	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	4.2965279140171045e-19	aracne_Microglia_CASTJ
Syt1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.016344223693826383	aracne_Microglia_CASTJ
Zeb2	74	0.5138888888888888	3	0.020833333333333332	71	0.4930555555555556	422.0	1.0	aracne_Microglia_B6J
Srrm2	6	0.041666666666666664	6	0.041666666666666664	0	0.0	0.0	0.37904098147115617	aracne_Microglia_B6J
Kmt2a	16	0.1111111111111111	1	0.006944444444444444	15	0.10416666666666667	38.0	0.30680935059090647	aracne_Microglia_B6J
Son	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.27212560783565887	aracne_Microglia_B6J
Klf12	49	0.3402777777777778	5	0.034722222222222224	44	0.3055555555555556	459.0	0.8205759988482725	aracne_Microglia_B6J
Magi1	5	0.034722222222222224	5	0.034722222222222224	0	0.0	0.0	0.2980316601723566	aracne_Microglia_B6J
Hexb	6	0.041666666666666664	6	0.041666666666666664	0	0.0	0.0	0.1390071898995121	aracne_Microglia_B6J
Cmss1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.218883793972777	aracne_Microglia_B6J
Abca1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.26503814810944587	aracne_Microglia_B6J
Celf2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.13503588960506943	aracne_Microglia_B6J
Dpp10	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.16021851547882493	aracne_Microglia_B6J
Pid1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.21127143718922275	aracne_Microglia_B6J
Ptprd	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.17785951905777445	aracne_Microglia_B6J
Parp8	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.1936018851329056	aracne_Microglia_B6J
P3h2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.09848624667478262	aracne_Microglia_B6J
Plcl1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.21122816630629263	aracne_Microglia_B6J
Arsb	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.200102174545171	aracne_Microglia_B6J
Cadm1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.20762002670088997	aracne_Microglia_B6J
Hdac9	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.13682600703874023	aracne_Microglia_B6J
E230029C05Rik	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.1892810642261854	aracne_Microglia_B6J
Mctp1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.22502501278483117	aracne_Microglia_B6J
Ly86	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.1887281361347807	aracne_Microglia_B6J
Ptprm	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.20084104862973934	aracne_Microglia_B6J
