	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Prkcq	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.09341526165549809	aracne_Microglia_CASTJ
Kcnq1ot1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.11063920020927319	aracne_Microglia_CASTJ
Mctp1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0923067487620562	aracne_Microglia_CASTJ
Prkn	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.05084872148718355	aracne_Microglia_CASTJ
Fhit	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.05212146626323527	aracne_Microglia_CASTJ
Wwox	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04799932230704342	aracne_Microglia_CASTJ
Gatm	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0841538005850351	aracne_Microglia_CASTJ
Rapgef5	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.08730288636825516	aracne_Microglia_CASTJ
Rasal3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.08296157642734947	aracne_Microglia_CASTJ
Pvt1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04485761169533047	aracne_Microglia_CASTJ
Phactr1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07708626256509933	aracne_Microglia_CASTJ
Nlgn1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07675627950301254	aracne_Microglia_CASTJ
Nrg3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07439987627196008	aracne_Microglia_CASTJ
Gm28187	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.07405677211010217	aracne_Microglia_CASTJ
Csmd1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.0966895657861785	aracne_Microglia_CASTJ
Rbfox1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04071561647092929	aracne_Microglia_CASTJ
Cask	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03888804874004602	aracne_Microglia_CASTJ
